p=2,,,,,,,
q=3,,,,w1,1.369961336,,
,,,,w2,-0.373131519,MSE,41.55679039
Date,Y,Y(t-1),Y(t-2),Predict_AR,Err,Predict_MA,Predict
3/1/1985,62.6166,70.8479,72.6803,69.93957301,7.322973006,,
4/1/1985,57.6106,62.6166,70.8479,59.34673646,1.736136456,,
5/1/1985,55.4467,57.6106,62.6166,55.56006748,0.113367479,,
6/1/1985,58.2228,55.4467,57.6106,54.46350453,-3.759295472,3.057492314,57.52099684
7/1/1985,62.7591,58.2228,55.4467,59.07407349,-3.685026514,-0.636597179,58.43747631
8/1/1985,63.3921,62.7591,58.2228,64.25277869,0.860678685,-2.443651502,61.80912718
9/1/1985,60.7507,63.3921,62.7591,63.4273277,2.676627702,-2.194547767,61.23277994
10/1/1985,56.4553,60.7507,63.3921,59.57251958,3.117219578,-0.049240042,59.52327954
11/1/1985,58.1385,56.4553,60.7507,54.67357725,-3.464922751,2.218175322,56.89175257
12/1/1985,68.8758,58.1385,56.4553,58.5822453,-10.2935547,0.776308176,59.35855347
1/1/1986,73.4956,68.8758,58.1385,72.66387618,-0.831723824,-3.547085959,69.11679022
2/1/1986,68.1637,73.4956,68.8758,74.9863985,6.822698499,-4.863400426,70.12299807
3/1/1986,62.3923,68.1637,73.4956,65.95810866,3.56580866,-1.434193343,64.52391532
4/1/1986,57.1915,62.3923,68.1637,60.04101375,2.849513751,3.185594445,63.2266082
5/1/1986,55.9599,57.1915,62.3923,55.06961008,-0.890289917,4.412673637,59.48228372
6/1/1986,60.0336,55.9599,57.1915,55.32294811,-4.710651895,1.841677498,57.1646256
7/1/1986,65.9077,60.0336,55.9599,61.36330838,-4.544391622,-0.917142687,60.44616569
8/1/1986,64.645,65.9077,60.0336,67.89057239,3.245572394,-3.381777811,64.50879458
9/1/1986,61.1742,64.645,65.9077,63.96891036,2.79471036,-2.003157041,61.96575332
10/1/1986,57.6978,61.1742,64.645,59.68520172,1.987401723,0.498630377,60.1838321
11/1/1986,59.4964,57.6978,61.1742,56.21773301,-3.278666989,2.675894825,58.89362784
12/1/1986,68.3302,59.4964,57.6978,59.97889988,-8.351300118,0.501148365,60.48004825
1/1/1987,74.0173,68.3302,59.4964,71.40974998,-2.607550018,-3.214188461,68.19556152
2/1/1987,70.254,74.0173,68.3302,75.90468788,5.650687884,-4.745839042,71.15884884
3/1/1987,65.7966,70.254,74.0173,68.62707613,2.830476128,-1.769387417,66.85768871
4/1/1987,60.3229,65.7966,70.254,63.92481631,3.601916314,1.957871331,65.88268764
5/1/1987,59.0245,60.3229,65.7966,58.08925538,-0.935244619,4.027693442,62.11694882
6/1/1987,64.0345,59.0245,60.3229,58.35290758,-5.681592423,1.832382607,60.18529018
7/1/1987,69.0282,64.0345,59.0245,65.70088783,-3.327312165,-1.004973576,64.69591426
8/1/1987,70.2369,69.0282,64.0345,70.67267485,0.435774849,-3.314716402,67.35795845
9/1/1987,64.2987,70.2369,69.0282,70.46524025,6.16654025,-2.857709913,67.60753034
10/1/1987,60.5402,64.2987,70.2369,61.87913178,1.338931777,1.091667644,62.97079942
11/1/1987,62.6219,60.5402,64.2987,58.94586168,-3.676038319,2.647082292,61.59294397
12/1/1987,70.7671,62.6219,60.5402,63.20012501,-7.566974992,1.276477903,64.47660291
1/1/1988,80.0833,70.7671,62.6219,73.5819862,-6.501313801,-3.301360511,70.28062569
2/1/1988,76.3631,80.0833,70.7671,83.30558915,6.94248915,-5.914775704,77.39081345
3/1/1988,70.4954,76.3631,80.0833,74.73289113,4.237491132,-2.375266547,72.35762458
4/1/1988,63.4244,70.4954,76.3631,68.08249288,4.658092877,1.559555494,69.64204837
5/1/1988,61.5776,63.4244,70.4954,60.58492008,-0.992679916,5.27935772,65.8642778
6/1/1988,67.2741,61.5776,63.4244,60.69328846,-6.580811542,2.634301364,63.32758982
7/1/1988,73.1676,67.2741,61.5776,69.1863725,-3.981227502,-0.971799527,68.21457297
8/1/1988,75.9479,73.1676,67.2741,75.13469593,-0.813204066,-3.851572987,71.28312295
9/1/1988,67.7223,75.9479,73.1676,76.74454883,9.02224883,-3.791747703,72.95280113
10/1/1988,63.4592,67.7223,75.9479,64.4383773,0.979177303,1.409272421,65.84764972
11/1/1988,65.2706,63.4592,67.7223,61.66732575,-3.603274247,3.062740689,64.73006644
12/1/1988,74.0492,65.2706,63.4592,65.7395707,-8.309629305,2.132717296,67.87228799
1/1/1989,78.1368,74.0492,65.2706,77.09002285,-1.046777154,-3.644575416,73.44544743
2/1/1989,76.8499,78.1368,74.0492,79.41430445,2.564404452,-4.319893568,75.09441088
3/1/1989,73.5377,76.8499,78.1368,76.12608881,2.588388812,-2.264000669,73.86208814
4/1/1989,65.2676,73.5377,76.8499,72.06868583,6.801085826,1.368672037,73.43735786
5/1/1989,63.8617,65.2676,73.5377,61.9748548,-1.886845202,3.984626363,65.95948116
6/1/1989,68.6587,63.8617,65.2676,63.13466113,-5.52403887,2.500876479,65.63553761
7/1/1989,74.2491,68.6587,63.8617,70.23095126,-4.018148739,-0.203266082,70.02768518
8/1/1989,75.2704,74.2491,68.6587,76.09967122,0.829271218,-3.809677603,72.28999361
9/1/1989,69.5107,75.2704,74.2491,75.41285829,5.902158288,-2.904305463,72.50855282
10/1/1989,66.062,69.5107,75.2704,67.14121276,1.07921276,0.904426922,68.04563968
11/1/1989,69.2555,66.062,69.5107,64.56575271,-4.68974729,2.603547422,67.16930013
12/1/1989,84.404,69.2555,66.062,70.22754291,-14.17645709,0.763874586,70.99141749
1/1/1990,84.6447,84.404,69.2555,89.7888067,5.144106699,-5.928997208,83.85980949
2/1/1990,77.4221,84.6447,84.404,84.46617358,7.044073579,-4.574032562,79.89214102
3/1/1990,73.4205,77.4221,84.6447,74.48167808,1.061178077,-0.662758939,73.81891914
4/1/1990,67.4636,73.4205,77.4221,71.6946205,4.231020503,4.416452785,76.11107329
5/1/1990,66.0145,67.4636,73.4205,65.02702091,-0.987479094,4.112090719,69.13911163
6/1/1990,71.6535,66.0145,67.4636,65.26451708,-6.388982921,1.434906495,66.69942357
7/1/1990,76.8376,71.6535,66.0145,73.53043394,-3.307166063,-1.048480504,72.48195343
